iter	Logloss
268	0.2030790921
269	0.2026297374
270	0.2019423556
271	0.2016452095
272	0.2011857986
273	0.2007156259
274	0.2002024478
275	0.1996183767
276	0.1991451091
277	0.1986531519
278	0.1982058193
279	0.1977490499
280	0.197205202
281	0.1967741123
282	0.1963472662
283	0.1957181583
284	0.1954608881
285	0.1950346979
286	0.1947296323
287	0.1942352267
288	0.193881983
289	0.1934999433
290	0.1932419539
291	0.1929045193
292	0.192516401
293	0.1921000725
294	0.1916339148
295	0.1912745569
296	0.1909778106
297	0.1905621961
298	0.1901471759
299	0.1894827922
300	0.1891379792
301	0.1886560868
302	0.1882511938
303	0.1878465439
304	0.1873454719
305	0.187011447
306	0.1866358569
307	0.1862504215
308	0.1858177753
309	0.1854540137
310	0.1850544423
311	0.1846390833
312	0.1841246172
313	0.183696424
314	0.1832025886
315	0.1829119405
316	0.1824388827
317	0.182112921
318	0.1817115186
319	0.1812676404
320	0.1808960652
321	0.1805458022
322	0.180305312
323	0.179963432
324	0.1795260551
325	0.1792323684
326	0.1789726222
327	0.1787309424
328	0.1783466051
329	0.1780482253
330	0.1776915975
331	0.1772040486
332	0.1769450942
333	0.1765585723
334	0.1761039006
335	0.1757346546
336	0.1752566776
337	0.1749546335
338	0.1744197783
339	0.1740778638
340	0.1737423719
341	0.1733635691
342	0.1727702228
343	0.1722491209
344	0.1718832482
345	0.1715263155
346	0.1713304215
347	0.1711083087
348	0.1708495217
349	0.1704761987
350	0.1701684143
351	0.1697833372
352	0.1692890265
353	0.1689983624
354	0.168806958
355	0.1683929724
356	0.1681191356
357	0.1677476988
358	0.1672831177
359	0.1669665748
360	0.1667158089
361	0.16644893
362	0.166238151
363	0.1658613955
364	0.165571258
365	0.165330181
366	0.1650040416
367	0.1647371928
368	0.1644279178
369	0.1642611855
370	0.1640647861
371	0.1639452454
372	0.1635547114
373	0.1632356557
374	0.1628284809
375	0.1623773451
376	0.1620845702
377	0.1616466166
378	0.161369085
379	0.1611494854
380	0.1608712822
381	0.1606491552
382	0.1603745753
383	0.1601205233
384	0.1598133987
385	0.1595906352
386	0.1593193309
387	0.1590991372
388	0.1588362708
389	0.1585518485
390	0.158371228
391	0.1580952425
392	0.1576423795
393	0.1574209995
394	0.1571645093
395	0.1567994909
396	0.1564047225
397	0.1560708635
398	0.1556177562
399	0.1553706736
400	0.1550242151
401	0.154828237
402	0.1545998373
403	0.1542280917
404	0.1539488271
405	0.1536363264
406	0.1533394079
407	0.1531250743
408	0.1528348439
409	0.1524878938
410	0.1522683228
411	0.1519557354
412	0.1516576735
413	0.1512645905
414	0.1509857494
415	0.1507640535
416	0.1505215778
417	0.1502573731
418	0.1499145646
419	0.1496574482
420	0.1493713745
421	0.1490431142
422	0.1487461661
423	0.1484857271
424	0.1482795942
425	0.147990896
426	0.1477618644
427	0.1474553456
428	0.1472549949
429	0.1470126339
430	0.1467875428
431	0.1465368719
432	0.1462237692
433	0.1459543979
434	0.1456518588
435	0.1454384971
436	0.1452101104
437	0.1448249089
438	0.144655413
439	0.1444965068
440	0.1442200471
441	0.1440557619
442	0.1437363189
443	0.1435406259
444	0.1432833048
445	0.1429179271
446	0.1427371034
447	0.1425698333
448	0.1422627851
449	0.1420766916
450	0.1417738549
451	0.1415439309
452	0.1414028469
453	0.1411114276
454	0.1408701332
455	0.1405604467
456	0.1402742351
457	0.139904455
458	0.1396685866
459	0.1394404297
460	0.1391462367
461	0.1389470013
462	0.1386359677
463	0.1384185158
464	0.1382341324
465	0.138022616
466	0.1377267746
467	0.1374092772
468	0.1372134282
469	0.1369942616
470	0.136741154
471	0.1364369733
472	0.1362015
473	0.1359815346
474	0.1356396827
475	0.1354638392
476	0.1351630721
477	0.1348859495
478	0.1346078942
479	0.1343083282
480	0.134066425
481	0.1338181762
482	0.1335484419
483	0.1332902428
484	0.1330135538
485	0.1327676228
486	0.13261374
487	0.1323388931
488	0.1320635491
489	0.1319066573
490	0.1316508663
491	0.1314180504
492	0.1312752297
493	0.1309510186
494	0.1306314692
495	0.1304273203
496	0.1301395818
497	0.1299432813
498	0.1295846587
499	0.129360309
500	0.1291027419
501	0.1287870298
502	0.1284625229
503	0.1283733799
504	0.1281244995
505	0.1279834079
506	0.1277004515
507	0.1274817956
508	0.1273352769
509	0.1271566308
510	0.1268305089
511	0.1266142536
512	0.1263809671
513	0.1261546523
514	0.1259113473
515	0.1257290515
516	0.1255390027
517	0.1252637399
518	0.1249368232
519	0.1247366741
520	0.1245334171
521	0.1242665041
522	0.1241493771
523	0.1239141455
524	0.1238314955
525	0.1237140618
526	0.1234440511
527	0.1232796919
528	0.1230206025
529	0.1228585234
530	0.122718047
531	0.1225940659
532	0.1224564039
533	0.1222778181
534	0.1219714692
535	0.121806072
536	0.1215204563
537	0.1213341682
538	0.1211487094
539	0.120969202
540	0.1208030897
541	0.1206046347
542	0.1204556834
543	0.1203442544
544	0.120068483
545	0.1198284507
546	0.1196637883
547	0.1195460991
548	0.1193342457
549	0.119131809
550	0.1189961794
551	0.1188167245
552	0.1186053138
553	0.1184743704
554	0.1183241896
555	0.11811909
556	0.117844474
557	0.1177491175
558	0.1173711978
559	0.1172878786
560	0.1170563298
561	0.1168002276
562	0.1166677068
563	0.1164599427
564	0.1162248884
565	0.1160140289
566	0.1158331798
567	0.1157254654
568	0.1155903811
569	0.115401363
570	0.1151905097
571	0.1150021983
572	0.1147450006
573	0.1145522047
574	0.1143650605
575	0.1141688209
576	0.1138613822
577	0.1136410003
578	0.1134546023
579	0.113241426
580	0.1131047005
581	0.1129010576
582	0.1128034529
583	0.1126405247
584	0.1123703338
585	0.1121713135
586	0.1120167135
587	0.1118614622
588	0.1116491607
589	0.111379402
590	0.1111547157
591	0.1109785605
592	0.1107380588
593	0.1105244269
594	0.1103823973
595	0.1101788678
596	0.110094939
597	0.1098826048
598	0.1096564342
599	0.1094940924
600	0.1092356028
601	0.1089876749
602	0.1088346111
603	0.1086435447
604	0.1085506885
605	0.1083892226
606	0.108167569
607	0.1080095677
608	0.107914532
609	0.1078383695
610	0.1076812546
611	0.1074911169
612	0.1072905119
613	0.1071444487
614	0.1069963089
615	0.106844148
616	0.1066470147
617	0.1064764407
618	0.1063088975
619	0.1062079683
620	0.1061102449
621	0.1060390395
622	0.1057453801
623	0.1055721598
624	0.1053699189
625	0.1050988415
626	0.1049912685
627	0.1048903909
628	0.104790939
629	0.1046514067
630	0.1045157169
631	0.1043340185
632	0.1041255546
633	0.1039121305
634	0.1037370965
635	0.1036175545
636	0.1034352293
637	0.1032641331
638	0.1030001472
639	0.1028914123
640	0.1026788243
641	0.1024234593
642	0.1022060044
643	0.1021138983
644	0.1019216595
645	0.1018169646
646	0.1015986418
647	0.1014667903
648	0.1013853821
649	0.1012606417
650	0.1011002897
651	0.1009624272
652	0.1008225658
653	0.100661176
654	0.1004803892
655	0.1003797077
656	0.1001833734
657	0.1000582872
658	0.09991275608
659	0.09973719335
660	0.09961731912
661	0.09942343631
662	0.09923108162
663	0.09913211432
664	0.09911722694
665	0.09894066697
666	0.09877425694
667	0.09860635153
668	0.09839232614
669	0.0981559556
670	0.09804844327
671	0.09788498464
672	0.09766209276
673	0.09751616422
674	0.09735647877
675	0.09724358234
676	0.0970971606
677	0.09691190503
678	0.09678731838
679	0.09656006528
680	0.09639985353
681	0.09621021833
682	0.09612351821
683	0.09599174784
684	0.09584715293
685	0.09563620219
686	0.09550147897
687	0.09539527992
688	0.09527345187
689	0.09517848438
690	0.09501921354
691	0.09481223336
692	0.09470247765
693	0.09461095789
694	0.09439270813
695	0.09428111824
696	0.09416839235
697	0.09397893238
698	0.09387827521
699	0.0937766468
700	0.09361954893
701	0.0934274323
702	0.09328313983
703	0.09306744022
704	0.0928943416
705	0.09274030851
706	0.09256426257
707	0.09244285082
708	0.09233196079
709	0.09217933848
710	0.092121332
711	0.09194391993
712	0.09183093263
713	0.09165249757
714	0.09155210613
715	0.09139783114
716	0.09119517126
717	0.09106647433
718	0.09091808638
719	0.09070579359
720	0.09054267485
721	0.09041428927
722	0.09026110912
723	0.0901428014
724	0.09008510037
725	0.08995462343
726	0.0898398466
727	0.08974646102
728	0.08952803795
729	0.08937792186
730	0.08929462122
731	0.08910286637
732	0.08893116732
733	0.08883445844
734	0.08871675404
735	0.08863079771
736	0.08847458949
737	0.08839194128
738	0.08825315411
739	0.08824130503
740	0.0882271636
741	0.08809835979
742	0.08800102339
743	0.08787965618
744	0.08766070235
745	0.08764906943
746	0.08749600386
747	0.08731840669
748	0.08715645115
749	0.08699369443
750	0.08694286505
751	0.08680421147
752	0.08671775001
753	0.08664064068
754	0.08655210603
755	0.0864635366
756	0.08625252484
757	0.08614554482
758	0.08598656681
759	0.08582465737
760	0.08578199031
761	0.08559370221
762	0.08547802479
763	0.08533505645
764	0.08523422248
765	0.08511403508
766	0.08502809861
767	0.08494585154
768	0.08483120987
769	0.08473336895
770	0.08466117073
771	0.08455091291
772	0.08436777759
773	0.08421202852
774	0.08405505293
775	0.08394129862
776	0.08390398413
777	0.0837782817
778	0.0836216041
779	0.08353422784
780	0.08342405559
781	0.08331319745
782	0.08322587885
783	0.0831424782
784	0.08297186365
785	0.08286026474
786	0.08275095012
787	0.08258117587
788	0.08243856798
789	0.08229402663
790	0.08214115916
791	0.08200873383
792	0.08188278154
793	0.0817855212
794	0.08168507308
795	0.08158903276
796	0.08141287838
797	0.08129759535
798	0.08118465896
799	0.08097632626
800	0.08087383648
801	0.08080636522
802	0.08066970275
803	0.08066054464
804	0.08055849475
805	0.08039308593
806	0.08029940861
807	0.08020756787
808	0.08009265566
809	0.07989929891
810	0.07979345743
811	0.07970461829
812	0.07958275943
813	0.07950340263
814	0.07933100349
815	0.07921095258
816	0.07913198211
817	0.07905577446
818	0.07891876489
819	0.07873126655
820	0.07858911986
821	0.07847581519
822	0.07838574556
823	0.07828439455
824	0.07815288222
825	0.0780253716
826	0.07793510857
827	0.07775578001
828	0.07762848952
829	0.07749101744
830	0.07741054786
831	0.07724181141
832	0.07714801542
833	0.07699887756
834	0.07686862435
835	0.07675090178
836	0.0766299818
837	0.07642041933
838	0.07623964052
839	0.07612103805
840	0.07601991728
841	0.07587779032
842	0.07576016932
843	0.07561473724
844	0.07552753296
845	0.07542190487
846	0.07524483412
847	0.07517860948
848	0.07511156548
849	0.07501886783
850	0.07486331457
851	0.07476251261
852	0.07464615303
853	0.07455506703
854	0.07447208075
855	0.07438238723
856	0.07426113026
857	0.07425162505
858	0.07415995749
859	0.07413587168
860	0.07406409337
861	0.07399874694
862	0.07387988306
863	0.07374444205
864	0.07352825694
865	0.07338047714
866	0.07328298945
867	0.07315993116
868	0.07308497614
869	0.0729828467
870	0.0728640235
871	0.07275374149
872	0.07266723249
873	0.07258940188
874	0.07248117838
875	0.07238718634
876	0.07228892058
877	0.0721301385
878	0.0720614116
879	0.07196122333
880	0.07187610428
881	0.07186631985
882	0.07174940136
883	0.07160756084
884	0.07146974972
885	0.07136042728
886	0.07128016483
887	0.07116461835
888	0.07103878088
889	0.07091570948
890	0.07076464152
891	0.07061612299
892	0.07055270245
893	0.07048442471
894	0.07040590352
895	0.07037946264
896	0.07019198934
897	0.0701048728
898	0.07001504821
899	0.06989122737
900	0.0698263177
901	0.06972197304
902	0.06959986025
903	0.06949449163
904	0.06945136399
905	0.06932991024
906	0.06924962011
907	0.0691630271
908	0.06907206133
909	0.06899285966
910	0.06891322617
911	0.06879105332
912	0.06872082683
913	0.06866611332
914	0.06856753512
915	0.06850363762
916	0.06838093028
917	0.06830751938
918	0.06821471462
919	0.06806256625
920	0.06793511221
921	0.06782523614
922	0.0677171265
923	0.06762375728
924	0.06749167736
925	0.06743266545
926	0.06732389074
927	0.06721187336
928	0.06711665926
929	0.06706144917
930	0.06700073511
931	0.06687003576
932	0.0668321662
933	0.06674197718
934	0.06659622111
935	0.06653631016
936	0.06639924006
937	0.06630283651
938	0.06619021304
939	0.06614734187
940	0.0660372186
941	0.06596660879
942	0.06585128797
943	0.06574211657
944	0.065629431
945	0.06554474523
946	0.06549917647
947	0.06541597452
948	0.06530457094
949	0.06521490449
950	0.06506955232
951	0.0649179618
952	0.06490475935
953	0.0648445864
954	0.064691578
955	0.06461673117
956	0.06456507101
957	0.0644887566
958	0.06440711996
959	0.0642958939
960	0.06418870279
961	0.06409030199
962	0.06394745424
963	0.06387749626
964	0.06382718139
965	0.06369890702
966	0.06357346467
967	0.06347505316
968	0.06337520777
969	0.06329049311
970	0.06316644937
971	0.0630616203
972	0.06297582993
973	0.06291376804
974	0.0628162179
975	0.06272477986
976	0.06268653516
977	0.0626464126
978	0.06255040934
979	0.06246106893
980	0.0623756679
981	0.06230450314
982	0.06219055038
983	0.06210498579
984	0.06202798116
985	0.06192361328
986	0.06184154156
987	0.06177879343
988	0.06164064785
989	0.06157251009
990	0.06151707133
991	0.06142613167
992	0.0613239317
993	0.06126134652
994	0.06117367311
995	0.06109586441
996	0.06100447788
997	0.06094076187
998	0.06088577167
999	0.06079544063
