iter	Passed	Remaining
411	4734	6757
412	4742	6740
413	4750	6723
414	4758	6707
415	4765	6689
416	4772	6672
417	4780	6656
418	4788	6639
419	4796	6623
420	4803	6606
421	4812	6591
422	4819	6574
423	4826	6556
424	4833	6539
425	4842	6525
426	4851	6510
427	4860	6496
428	4868	6479
429	4876	6464
430	4884	6448
431	4893	6433
432	4900	6417
433	4909	6402
434	4917	6386
435	4925	6371
436	4932	6355
437	4941	6339
438	4948	6324
439	4957	6309
440	4965	6293
441	4973	6278
442	4980	6262
443	4988	6246
444	4995	6230
445	5004	6215
446	5011	6200
447	5019	6184
448	5027	6169
449	5035	6154
450	5043	6139
451	5050	6123
452	5059	6109
453	5066	6093
454	5075	6078
455	5082	6063
456	5091	6049
457	5099	6034
458	5107	6019
459	5115	6004
460	5123	5990
461	5130	5974
462	5138	5960
463	5159	5960
464	5166	5944
465	5175	5930
466	5184	5916
467	5190	5900
468	5195	5882
469	5200	5864
470	5209	5850
471	5216	5835
472	5225	5822
473	5231	5805
474	5245	5797
475	5258	5788
476	5273	5782
477	5288	5775
478	5301	5766
479	5314	5757
480	5328	5749
481	5341	5740
482	5355	5732
483	5369	5724
484	5384	5717
485	5408	5719
486	5423	5713
487	5438	5705
488	5454	5699
489	5471	5694
490	5486	5687
491	5501	5680
492	5518	5674
493	5529	5664
494	5538	5650
495	5546	5635
496	5554	5621
497	5562	5606
498	5570	5593
499	5578	5578
500	5586	5564
501	5594	5549
502	5602	5535
503	5610	5520
504	5618	5507
505	5625	5492
506	5632	5477
507	5637	5459
508	5641	5442
509	5646	5424
510	5654	5411
511	5662	5397
512	5671	5383
513	5679	5370
514	5688	5356
515	5696	5343
516	5704	5329
517	5713	5316
518	5721	5302
519	5729	5288
520	5736	5274
521	5745	5260
522	5752	5246
523	5760	5232
524	5768	5219
525	5780	5209
526	5787	5194
527	5793	5178
528	5801	5165
529	5809	5151
530	5817	5138
531	5825	5124
532	5833	5111
533	5841	5097
534	5848	5083
535	5852	5066
536	5857	5050
537	5864	5036
538	5872	5022
539	5881	5010
540	5889	4996
541	5898	4984
542	5906	4971
543	5915	4958
544	5923	4944
545	5930	4931
546	5935	4915
547	5939	4899
548	5944	4883
549	5949	4867
550	5954	4851
551	5958	4836
552	5963	4820
553	5968	4804
554	5972	4789
555	5981	4776
556	5989	4763
557	5998	4751
558	6006	4738
559	6014	4725
560	6022	4713
561	6031	4700
562	6039	4687
563	6047	4675
564	6059	4665
565	6076	4659
566	6089	4650
567	6104	4642
568	6121	4636
569	6136	4629
570	6149	4620
571	6163	4611
572	6179	4604
573	6194	4597
574	6210	4590
575	6225	4582
576	6240	4575
577	6256	4568
578	6271	4560
579	6281	4548
580	6297	4541
581	6312	4533
582	6327	4525
583	6342	4517
584	6349	4504
585	6361	4494
586	6378	4487
587	6395	4481
588	6415	4476
589	6430	4468
590	6447	4461
591	6462	4453
592	6478	4446
593	6493	4438
594	6511	4432
595	6541	4434
596	6556	4426
597	6570	4416
598	6576	4402
599	6582	4388
600	6588	4373
601	6592	4358
602	6596	4343
603	6615	4337
604	6629	4328
605	6644	4319
606	6659	4311
607	6675	4304
608	6690	4295
609	6703	4286
610	6718	4277
611	6734	4269
612	6751	4262
613	6765	4253
614	6779	4244
615	6793	4235
616	6808	4226
617	6821	4216
618	6835	4207
619	6849	4197
620	6862	4188
621	6874	4177
622	6889	4169
623	6904	4160
624	6919	4151
625	6933	4142
626	6948	4133
627	6962	4124
628	6982	4118
629	6996	4108
630	7009	4098
631	7020	4087
632	7027	4074
633	7033	4060
634	7039	4046
635	7044	4031
636	7049	4016
637	7072	4013
638	7087	4004
639	7102	3995
640	7117	3986
641	7132	3977
642	7146	3968
643	7161	3958
644	7176	3949
645	7189	3939
646	7206	3932
647	7227	3926
648	7242	3917
649	7256	3907
650	7270	3897
651	7284	3888
652	7301	3880
653	7316	3870
654	7331	3861
655	7339	3848
656	7347	3836
657	7355	3822
658	7370	3813
659	7384	3804
660	7399	3794
661	7413	3785
662	7428	3775
663	7439	3764
664	7454	3755
665	7468	3745
666	7482	3735
667	7496	3726
668	7512	3717
669	7528	3707
670	7543	3698
671	7552	3686
672	7560	3673
673	7566	3659
674	7573	3646
675	7581	3633
676	7591	3621
677	7602	3610
678	7611	3598
679	7618	3585
680	7627	3572
681	7635	3560
682	7643	3547
683	7651	3534
684	7660	3522
685	7667	3509
686	7677	3497
687	7684	3484
688	7693	3472
689	7701	3459
690	7709	3447
691	7717	3434
692	7726	3422
693	7733	3409
694	7741	3397
695	7749	3384
696	7758	3372
697	7766	3360
698	7773	3347
699	7778	3333
700	7782	3319
701	7791	3307
702	7799	3294
703	7807	3282
704	7815	3270
705	7824	3258
706	7832	3245
707	7843	3234
708	7852	3222
709	7860	3210
710	7868	3198
711	7877	3186
712	7886	3174
713	7894	3162
714	7902	3150
715	7910	3137
716	7918	3125
717	7926	3113
718	7935	3101
719	7943	3089
720	7951	3077
721	7959	3064
722	7969	3053
723	7977	3041
724	7985	3029
725	7993	3016
726	8001	3004
727	8009	2992
728	8017	2980
729	8025	2968
730	8034	2956
731	8041	2944
732	8050	2932
733	8057	2920
734	8066	2908
735	8073	2896
736	8082	2884
737	8090	2872
738	8098	2860
739	8106	2848
740	8114	2836
741	8120	2823
742	8125	2810
743	8130	2797
744	8135	2784
745	8140	2771
746	8144	2758
747	8152	2746
748	8160	2734
749	8168	2722
750	8176	2711
751	8185	2699
752	8192	2687
753	8201	2675
754	8210	2664
755	8271	2669
756	8286	2660
757	8302	2650
758	8306	2637
759	8310	2624
760	8314	2611
761	8318	2598
762	8321	2584
763	8324	2571
764	8327	2558
765	8330	2544
766	8334	2531
767	8337	2518
768	8340	2505
769	8343	2492
770	8346	2478
771	8349	2465
772	8352	2452
773	8355	2439
774	8358	2426
775	8361	2413
776	8364	2400
777	8367	2387
778	8370	2374
779	8374	2361
780	8377	2349
781	8380	2336
782	8383	2323
783	8386	2310
784	8389	2297
785	8392	2284
786	8395	2272
787	8398	2259
788	8402	2247
789	8405	2234
790	8408	2221
791	8411	2209
792	8415	2196
793	8418	2184
794	8421	2171
795	8424	2158
796	8427	2146
797	8430	2133
798	8433	2121
799	8436	2109
800	8439	2096
801	8442	2084
802	8445	2071
803	8448	2059
804	8451	2047
805	8454	2035
806	8457	2022
807	8460	2010
808	8463	1998
809	8466	1986
810	8469	1973
811	8472	1961
812	8475	1949
813	8478	1937
814	8483	1925
815	8487	1913
816	8491	1901
817	8494	1889
818	8498	1878
819	8501	1866
820	8505	1854
821	8508	1842
822	8512	1830
823	8516	1819
824	8519	1807
825	8523	1795
826	8526	1783
827	8530	1771
828	8533	1760
829	8536	1748
830	8539	1736
831	8542	1724
832	8545	1713
833	8548	1701
834	8551	1689
835	8554	1678
836	8557	1666
837	8561	1655
838	8564	1643
839	8567	1631
840	8570	1620
841	8573	1608
842	8576	1597
843	8579	1585
844	8582	1574
845	8585	1562
846	8588	1551
847	8591	1539
848	8594	1528
849	8597	1517
850	8600	1505
851	8603	1494
852	8606	1483
853	8609	1471
854	8612	1460
855	8615	1449
856	8618	1438
857	8621	1426
858	8623	1415
859	8628	1404
860	8632	1393
861	8635	1382
862	8639	1371
863	8643	1360
864	8646	1349
865	8649	1338
866	8652	1327
867	8656	1316
868	8659	1305
869	8662	1294
870	8665	1283
871	8668	1272
872	8671	1261
873	8674	1250
874	8677	1239
875	8680	1228
876	8683	1217
877	8686	1207
878	8689	1196
879	8693	1185
880	8696	1174
881	8699	1163
882	8702	1153
883	8705	1142
884	8708	1131
885	8711	1120
886	8714	1110
887	8717	1099
888	8720	1088
889	8723	1078
890	8726	1067
891	8729	1056
892	8732	1046
893	8735	1035
894	8738	1025
895	8741	1014
896	8744	1004
897	8747	993
898	8750	983
899	8753	972
900	8757	962
901	8760	951
902	8763	941
903	8766	930
904	8769	920
905	8773	910
906	8776	899
907	8779	889
908	8782	879
909	8785	868
910	8788	858
911	8792	848
912	8795	838
913	8798	827
914	8801	817
915	8805	807
916	8808	797
917	8811	787
918	8814	776
919	8817	766
920	8820	756
921	8823	746
922	8826	736
923	8829	726
924	8832	716
925	8835	706
926	8839	696
927	8842	686
928	8845	676
929	8848	666
930	8851	656
931	8854	646
932	8858	636
933	8861	626
934	8863	616
935	8866	606
936	8870	596
937	8873	586
938	8876	576
939	8879	566
940	8882	556
941	8885	547
942	8889	537
943	8892	527
944	8895	517
945	8898	507
946	8901	498
947	8904	488
948	8907	478
949	8910	468
950	8913	459
951	8917	449
952	8920	439
953	8923	430
954	8926	420
955	8929	410
956	8932	401
957	8935	391
958	8938	382
959	8941	372
960	8944	362
961	8947	353
962	8951	343
963	8954	334
964	8957	324
965	8960	315
966	8963	305
967	8966	296
968	8969	286
969	8972	277
970	8975	268
971	8978	258
972	8981	249
973	8985	239
974	8988	230
975	8991	221
976	8994	211
977	8997	202
978	9001	193
979	9004	183
980	9007	174
981	9010	165
982	9013	155
983	9017	146
984	9020	137
985	9023	128
986	9026	118
987	9028	109
988	9032	100
989	9035	91
990	9038	82
991	9041	72
992	9044	63
993	9047	54
994	9050	45
995	9053	36
996	9056	27
997	9059	18
998	9062	9
999	9066	0
