LogisticRegression Test Accuracy: 0.9325, F1 Score: 0.8696, Precision: 0.8911, Recall: 0.8491
XGBClassifier Test Accuracy: 0.9337, F1 Score: 0.8723, Precision: 0.8916, Recall: 0.8538
LGBMClassifier Test Accuracy: 0.9287, F1 Score: 0.8620, Precision: 0.8856, Recall: 0.8396
MLPClassifier Test Accuracy: 0.9350, F1 Score: 0.8738, Precision: 0.9000, Recall: 0.8491
DecisionTreeClassifier Test Accuracy: 0.8838, F1 Score: 0.7759, Precision: 0.7931, Recall: 0.7594
KNeighborsClassifier Test Accuracy: 0.8750, F1 Score: 0.7619, Precision: 0.7692, Recall: 0.7547
RandomForestClassifier Test Accuracy: 0.9125, F1 Score: 0.8259, Precision: 0.8737, Recall: 0.7830
SVC Test Accuracy: 0.9387, F1 Score: 0.8808, Precision: 0.9095, Recall: 0.8538
DNN Test Accuracy: 0.9463, F1 Score: 0.8969, Precision: 0.9122, Recall: 0.8821
